Date,Open,High,Low,Close,Volume,Adj Close
2022-03-22 04:05:00,2909.49,2909.59,2908.66,2908.96,2499.7543,2908.96
2022-03-22 04:06:00,2908.95,2909.78,2908.91,2909.78,1226.2304,2909.78
2022-03-22 04:07:00,2909.78,2911.53,2909.77,2911.53,2059.488,2911.53
2022-03-22 04:08:00,2911.53,2912.75,2911.53,2912.75,991.3883,2912.75
2022-03-22 04:09:00,2912.75,2912.78,2912.18,2912.37,1895.1546,2912.37
2022-03-22 04:10:00,2912.36,2912.36,2910.61,2910.65,1541.4249,2910.65
2022-03-22 04:11:00,2910.66,2910.99,2909.23,2910.99,1038.4354,2910.99
2022-03-22 04:12:00,2910.68,2911.01,2910.68,2911.01,857.1588,2911.01
2022-03-22 04:13:00,2911.01,2911.01,2909.5,2910.66,768.493,2910.66
2022-03-22 04:14:00,2910.79,2911.75,2910.79,2911.67,1661.5945,2911.67
2022-03-22 04:15:00,2911.59,2911.64,2910.89,2911.57,3670.8355,2911.57
2022-03-22 04:16:00,2911.58,2912.61,2911.58,2912.61,2784.7507,2912.61
2022-03-22 04:17:00,2912.61,2912.61,2911.61,2911.73,10487.0565,2911.73
2022-03-22 04:18:00,2911.76,2912.48,2911.76,2912.35,2252.0591,2912.35
2022-03-22 04:19:00,2912.3,2912.3,2907.75,2908.47,4909.7101,2908.47
2022-03-22 04:20:00,2908.56,2909.09,2908.32,2908.99,2602.0376,2908.99
2022-03-22 04:21:00,2909.21,2909.98,2908.8,2909.82,2451.6586,2909.82
2022-03-22 04:22:00,2909.95,2909.95,2909.29,2909.51,1196.9664,2909.51
2022-03-22 04:23:00,2909.73,2909.74,2908.46,2908.89,872.7399,2908.89
2022-03-22 04:24:00,2908.9,2908.9,2902.01,2905,952.5944,2905
2022-03-22 04:25:00,2904.99,2904.99,2902.19,2902.67,1171.1031,2902.67
2022-03-22 04:26:00,2902.67,2903.31,2898.02,2899.6,1471.7642,2899.6
2022-03-22 04:27:00,2899.61,2899.61,2893.23,2897.02,2234.8276,2897.02
2022-03-22 04:28:00,2897.18,2897.99,2891.2,2892.36,1161.6174,2892.36
2022-03-22 04:29:00,2892.36,2892.36,2888,2890.78,1568.896,2890.78
